TITRE;CATEGORIE;GENRE;REALISATEUR;ORIGINE;ACTEUR;CLASSEUR;NUMERO;TYPE;ZONE;ANNEE;LANGUE;COMMENTAIRES;VOIR;;;;;;;;;
Apocalypse Now;Guerre;Vietnam;Francis Ford Coppola;USA;Marlon Brando - Martin Sheen;;;DVD;2;1978;Fr-Ang;Version Longue;;;;;;;;;;
Apocalypto;Action;Historique;Mel Gibson;USA;;;;DVD;2;2007;Maya Yucatèque;;;;;;;;;;;
Apollo 13;Science Fiction;Drame;Ron Howard;USA;Tom Hanks - Bill Paxton - Gary Sinise - Kevin Beacon - Ed Harris - Kathleen Quinlan;;;DVD;2;1995;Fr-Ang-All-Itl-Esp;;OUI;;;;;;;;;
Apollo 18;Science Fiction;Frisson;Timur Bermambetovp;USA;Warren Christie - Lloyd Owen;;;DVD;2;2011;Fr-Ang;;;;;;;;;;;
Aquaman;Science Fiction;Super héros;James wan;USA;Jason Momoa - Amber Heard - Willen Dafoe - Patrick Wilson - Nicole Kidman - Dolph Lundgren;;;DVD;2;2018;Fr-Ang-All-Itl;;;;;;;;;;;
Arac attack;Fantastique;Frisson;Ellory Elkayem;USA;David Arquette - Kari Wuhrer;;;DVD;;2002;Fr-Ang-Itl;;;;;;;;;;;
Armageddon;Science Fiction;Catastrophe;Michael Bay;USA-Russe;Bruce Willis - Ben Affleck - Liv  Tyler;;;DVD;2;1998;Fr-Ang-Itl-Tch-Hong;;;;;;;;;;;
Arn Chevalier du Temple;Action;Historique;Peter Flinth;Suede;Joakim Natterqvist - Sofia Helin - Stellan Skarsgard - Vincent Perez - Simon Callow;;;DVD;2;2007;Fr-Suedois;;;;;;;;;;;
Arséne Lupin;Policier;Aventures;Jean Paul Salome;France;Romain Duris - Kristen Scott Thomas - Pascal Greggory;;;DVD;2;2004;Fr;;;;;;;;;;;
Arthur & les Minimoys;Jeunesse;Aventures;Luc Besson;France;Freedie Highmore - Mia Farrow;;;DVD;2;2007;Fr-Ang;;;;;;;;;;;
Astéris et le Secret de la Potion Magique;Jeunesse;Dessins Animés;Louis Clichy - Alexandre Astier;France;;;;DVD;2;2018;Fr;;;;;;;;;;;
Astérix & Obélix 1Contre Jules César;Jeunesse;Aventures;Claude Zidi;France;Gérard Depardieu - Roberto Benigni - Christian Clavier;;;DVD;2;1999;Fr;;;;;;;;;;;
Astérix & Obélix 2 Mission Cléopatre;Jeunesse;Aventures;;France;Gérard Depardieu - Alain Chabat - Christian Clavier - Claude Rich - Jamel Debbouze;;;DVD;2;2002;Fr;;;;;;;;;;;
Astérix & Obélix 3 aux Jeux Olympiques;Jeunesse;Aventures;;France;Gérard Depardieu - Clovis Cornillac - Benoit Poelvoorde - Alain delon - Franck Dubosc;;;DVD;2;2007;Fr;;;;;;;;;;;
Astérix & Obélix 4 Au Service de sa Majesté;Jeunesse;Aventures;;France;Gérard Depardieu - Edouard Baer - Guillaume Gallienne - Vincent Lacoste - Valérie Lemercier;;;DVD;2;2012;Fr;Supplément DVD 3D;;;;;;;;;;
Astérix et les Indiens;Jeunesse;Dessins Animés;;France;;;;DVD;1;1996;Fr-Ang;;;;;;;;;;;
Astérix et les Vikings;Jeunesse;Dessins Animés;;France;;;;DVD;1;2006;Fr-Ang;;;;;;;;;;;
Astérix Le Domaine des Dieux;Jeunesse;Dessins Animés;Louis Clichy - Alexandre Astier;France;;;;DVD;2;2014;Fr;;;;;;;;;;;
Atanarjuat La Légende de l'Homme Rapide;Drame;Société;Inuit;Canada;;;;DVD;2;2001;Inuit;;;;;;;;;;;
Atlantide l'Empire Perdu;Jeunesse;Dessins Animés;Walt Disney;USA;;;;DVD;2;2001;Fr-Ang;;;;;;;;;;;
Atomik Circus;Science Fiction;Frisson;;France;Vanessa Paradis - Benoit Poelvoorde - Jean Pierre Marielle;;;DVD;2;2004;Fr;;;;;;;;;;;
Au Cœur de l'Océan;Action;Aventures;Ron Howard;USA;Chris Hemsworth - Benjamin Walker - Cillian Murphy - Ben Whishaw - Tom Holland ;;;DVD;2;2015;Fr-Ang-All-Itl;;;;;;;;;;;
